FID,Serial,Lat,Long,GWL18,Aspect,Curvature,Drainage_density,Elevation,GWL_m,GWL_f,GWL_m_SP1,GWL_f_SP1,Distance_from_stream,Lithology,Plan_curvature,Profile_curvature,Slope_degree,TWI1,TRI,Sy
63,64,24.6355,90.2486,16.4,35.5377,-0.324473,0.07376,17,4.92,0.012757641,4.607166,5.67276,305.941,14,-0.108158,0.216315,2.02533,7.14708,13.2288,0.06738
64,65,24.6464,90.5761,15.05,161.565,0.108158,0.090023,17,4.515,0.30775614,3.217743,2.011436,7380.3,6,0.086526,-0.021632,1.48934,6.339076,12.8452,0.076135
65,66,24.6394,90.4088,14.98,-1,0,0.126773,14,4.494,0.045879238,2.397494,0.177442,1100.23,14,0,0,0,11.05089,9.64365,0.073751
66,67,24.641,90.5398,12.9,194.036,-0.108158,0.092309,17,3.87,0.171609191,4.566913,5.383914,4115.36,14,-0.086526,0.021632,1.94155,7.187298,14.6969,0.07558
67,68,24.6323,90.6418,13.2,-1,0,0.056739,13,3.96,0.122673783,1.550196,0.106726,2941.84,16,0,0,0,10.203592,10.9545,0.075034
68,69,24.6292,90.7563,5.95,11.3099,-0.108158,0.105344,12,1.785,0.104441016,3.710497,2.349943,2504.6,16,0,0.108158,1.20084,7.232532,10.583,0.071788
69,70,24.6021,90.3389,16.2,206.565,-0.108158,0.121317,14,4.86,0.04534715,2.896878,1.325728,1087.47,14,0,0.108158,1.05324,6.659819,12.8452,0.065186
70,71,24.626,90.2891,17.1,90,0,0.099962,15,5.13,0.094364705,3.985708,1.558007,2262.96,14,0,0,0.471065,9.154406,12.8452,0.066446
71,72,24.6127,90.5613,13.7,29.0546,0,0.098709,18,4.11,0.188538843,3.680489,3.668041,4521.35,14,0.070302,0.070302,2.42357,5.87672,13.2288,0.074167
72,73,24.6067,90.6734,11.62,-1,0,0.060532,12,3.486,0.077369584,4.894235,0.793684,1855.4,5,0,0,0,13.547631,7.2111,0.074767
73,74,24.6067,90.6138,15.05,18.4349,-0.43263,0.074479,14,4.515,0.142635003,4.295186,5.021574,3420.53,6,-0.113565,0.319065,2.23338,6.648224,9.64365,0.073168
74,75,24.6004,90.584,15.2,18.4349,-0.108158,0.087155,14,4.56,0.265389683,4.665021,3.0804,6364.31,6,0,0.108158,0.744795,9.050498,9.64365,0.073088
75,76,24.5945,90.4311,14.9,63.4349,0.216315,0.142336,15,4.47,0.054715817,2.896878,1.325728,1312.14,5,0.162236,-0.054079,1.05324,6.659819,12.4499,0.070621
76,77,24.5964,90.4144,14.5,341.565,0.108158,0.144315,16,4.35,0.092952754,3.278726,1.340822,2229.1,5,0,-0.108158,0.744795,7.664203,11.6619,0.069519
77,78,24.5909,90.7565,11.13,-1,0,0.106701,11,3.339,0.08664401,1.550196,0.106726,2077.81,16,0,0,0,10.203592,11.6189,0.073649
78,79,24.5887,90.2452,16.9,326.31,0.216315,0.079216,19,5.07,0.113592427,3.341166,2.361172,2724.06,20,0.108158,-0.108158,1.69799,6.215725,14.6969,0.055755
79,80,24.5824,90.4615,14.8,255.964,0.216315,0.135068,15,4.44,0.004510529,3.4683,2.785001,108.167,5,0.043263,-0.173052,1.94155,6.088685,12.4499,0.070836
80,81,24.5791,90.6911,10.2,-1,0,0.059001,12,3.06,0.116764939,2.397494,0.177442,2800.14,16,0,0,0,11.05089,10.583,0.074372
81,82,24.5418,90.3636,14.9,198.435,-0.108158,0.139967,13,4.47,0.067053501,2.585579,0.884613,1608.01,14,0,0.108158,0.744795,6.971056,9.32738,0.059273
82,83,24.5663,90.3715,14.7,296.565,0.324473,0.147691,17,4.41,0.156133606,3.545739,3.079539,3744.24,14,0.086526,-0.237947,2.10577,6.011318,11.3137,0.062107
83,84,24.5507,90.6719,10.41,-1,0,0.092036,12,3.123,0.030075852,2.648808,0.20632,721.249,5,0,0,0,11.302204,7.2111,0.074086
84,85,24.5485,90.6302,10.99,0,-0.108158,0.094534,14,3.297,0.167436721,4.345666,5.361553,4015.3,5,0,0.108158,2.35405,6.597802,10.583,0.071531
